emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,2065-01-03,1994-03-10,1999-01-01,Senior Staff
10122,Ohad,Esposito,2065-01-19,1998-08-06,1999-01-01,Technique Leader
10291,Dipayan,Seghrouchni,2065-01-23,1987-03-30,1999-01-01,Senior Staff
10476,Kokou,Iisaka,2065-01-01,1987-09-20,1999-01-01,Staff
10663,Teunis,Noriega,2065-01-09,1999-02-12,1999-01-01,Technique Leader
10762,Lech,Himler,2065-01-19,1992-01-21,1999-01-01,Staff
10933,Juyoung,Seghrouchni,2065-01-24,1993-08-02,1999-01-01,Senior Engineer
12155,Keiichiro,Glinert,2065-01-21,1993-09-16,1999-01-01,Engineer
12408,Rasiah,Sudkamp,2065-01-10,1995-04-18,1999-01-01,Senior Engineer
12643,Morrie,Schurmann,2065-01-30,1998-12-31,1999-01-01,Staff
13499,Kazuhiko,Sidou,2065-01-16,1991-09-01,1999-01-01,Technique Leader
14075,Denny,Tchuente,2065-01-03,1991-05-30,1999-01-01,Engineer
14104,Sudhanshu,Demian,2065-01-03,1994-07-23,1999-01-01,Senior Staff
14127,Magdalena,Cannard,2065-01-10,1994-04-22,1999-01-01,Senior Engineer
14158,Caolyn,Setiz,2065-01-22,1990-02-06,1999-01-01,Staff
14476,Sastry,Marrevee,2065-01-19,1999-09-25,1999-01-01,Engineer
14907,Nakhoon,Luga,2065-01-14,1986-12-18,1999-01-01,Staff
15050,Nikolaos,Kruskal,2065-01-18,1990-12-17,1999-01-01,Senior Engineer
15058,Bouchung,Bugrara,2065-01-30,1990-06-18,1999-01-01,Staff
15413,Arvin,Rabejac,2065-01-17,1994-01-01,1999-01-01,Engineer
16461,Remmert,Schahn,2065-01-14,1986-09-06,1999-01-01,Senior Staff
16528,Gaurav,Swick,2065-01-21,1996-05-07,1999-01-01,Engineer
17013,Morris,Garigliano,2065-01-15,1995-05-24,1999-01-01,Senior Staff
17206,Berry,DeMori,2065-01-02,1992-12-27,1999-01-01,Senior Engineer
17369,Yaghout,Kenevan,2065-01-31,2000-09-15,1999-01-01,Senior Engineer
17447,Zengping,Boreale,2065-01-11,1998-12-16,1999-01-01,Staff
17731,Gennady,Roison,2065-01-16,1989-12-06,1999-01-01,Engineer
17970,Filipp,Carrere,2065-01-06,1989-01-09,1999-01-01,Technique Leader
17988,Mabhin,Calkin,2065-01-31,1989-11-30,1999-01-01,Engineer
18021,Adil,Matzke,2065-01-07,1987-05-08,1999-01-01,Engineer
18424,Filipp,Rousseau,2065-01-19,1995-06-07,1999-01-01,Engineer
18583,Stafford,Honglei,2065-01-03,1998-08-16,1999-01-01,Staff
18617,Surveyors,Crouzet,2065-01-21,1989-04-24,1999-01-01,Staff
18810,Taiji,Jarecki,2065-01-09,1991-06-27,1999-01-01,Engineer
19236,Elzbieta,Morris,2065-01-24,1988-07-12,1999-01-01,Senior Engineer
19350,Satoru,Yoshizawa,2065-01-19,1994-03-27,1999-01-01,Senior Staff
19803,Ziva,Kowalchuk,2065-01-30,1987-06-13,1999-01-01,Engineer
20100,Utz,Heuter,2065-01-18,1986-06-15,1999-01-01,Senior Staff
20128,Kazunori,Peak,2065-01-23,1999-08-13,1999-01-01,Senior Staff
20129,Rafael,Skafidas,2065-01-10,1991-03-28,1999-01-01,Engineer
20248,Vidar,Demri,2065-01-12,1999-12-31,1999-01-01,Staff
20313,Candida,Benveniste,2065-01-24,1999-01-20,1999-01-01,Engineer
20500,Christoph,Trystram,2065-01-30,1993-10-15,1999-01-01,Senior Staff
20885,Otmar,Rothenberg,2065-01-21,1989-03-14,1999-01-01,Engineer
21181,Jianhui,Cangellaris,2065-01-21,1991-10-06,1999-01-01,Engineer
21188,Piyush,Danecki,2065-01-21,2000-01-08,1999-01-01,Engineer
21546,Yongmin,Lanteri,2065-01-01,2002-03-19,1999-01-01,Senior Staff
21843,Karsten,Azadmanesh,2065-01-09,1985-11-29,1999-01-01,Senior Engineer
21909,Mohammed,Brizzi,2065-01-04,1991-12-28,1999-01-01,Staff
22185,Huai,Birch,2065-01-29,2002-06-12,1999-01-01,Assistant Engineer
22415,Perla,Jumpertz,2065-01-20,1994-08-24,1999-01-01,Senior Staff
22451,Jasminko,Bresenham,2065-01-27,1994-01-19,1999-01-01,Senior Staff
22455,Barry,Unno,2065-01-06,1990-11-16,1999-01-01,Staff
22926,Manibrata,Genther,2065-01-01,1988-01-15,1999-01-01,Engineer
23396,Hilari,Fairtlough,2065-01-02,1986-12-15,1999-01-01,Technique Leader
24080,Jaana,Perez,2065-01-26,1996-03-11,1999-01-01,Technique Leader
24205,Roddy,Rubsam,2065-01-25,1993-09-19,1999-01-01,Senior Engineer
24377,Lubomir,Wroclawski,2065-01-25,1993-07-25,1999-01-01,Engineer
24394,Zhonghui,Conta,2065-01-04,1994-09-10,1999-01-01,Staff
24553,Anwar,Passafiume,2065-01-12,1987-01-30,1999-01-01,Senior Staff
24571,Cordelia,Gischer,2065-01-20,1989-03-14,1999-01-01,Engineer
25488,Ingmar,Basawa,2065-01-19,1991-11-09,1999-01-01,Senior Staff
26629,Nevin,Rodham,2065-01-28,1998-12-14,1999-01-01,Senior Staff
26671,Jiakeng,Kalorkoti,2065-01-21,1994-12-25,1999-01-01,Engineer
26788,Zongyan,Dalphin,2065-01-25,1988-04-23,1999-01-01,Senior Engineer
27331,Wanqing,Krohm,2065-01-19,1991-01-22,1999-01-01,Senior Staff
27378,Piyawadee,Leppanen,2065-01-28,1999-02-25,1999-01-01,Senior Staff
27620,Shuji,Kandlur,2065-01-25,1990-03-02,1999-01-01,Senior Engineer
27686,Manu,Rosiles,2065-01-28,1998-03-03,1999-01-01,Senior Staff
27699,Falguni,Pezzoli,2065-01-15,1996-12-23,1999-01-01,Engineer
27767,Tooru,Veldwijk,2065-01-27,1993-11-21,1999-01-01,Senior Staff
28193,Xinglin,Mitsuhashi,2065-01-29,1988-12-14,1999-01-01,Engineer
28974,Chenxi,Sundgren,2065-01-09,1986-09-02,1999-01-01,Senior Engineer
28988,Tua,Giveon,2065-01-18,1998-09-09,1999-01-01,Technique Leader
29130,Xumin,Thorensen,2065-01-06,1998-04-26,1999-01-01,Staff
29265,Gilbert,Calkin,2065-01-14,1988-03-21,1999-01-01,Senior Staff
29380,Satoru,Vidal,2065-01-30,1998-05-02,1999-01-01,Assistant Engineer
29418,Valery,Mersereau,2065-01-22,1998-07-01,1999-01-01,Assistant Engineer
29679,Kolar,Steenbeek,2065-01-17,1986-10-18,1999-01-01,Senior Engineer
29782,Jouko,Hellwagner,2065-01-29,2000-10-23,1999-01-01,Senior Engineer
29954,Pranay,Giarratana,2065-01-27,1992-09-29,1999-01-01,Senior Engineer
